Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
Goodnight Irene,Gordon Jenkins & The Weavers,1950,1,Folk,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3GtfeLBXe15nyEMN664ygs?si=39b24fc00f4f4cf5,3/4,,F,,,,,,Major,,,,,,94,141,
Mona Lisa,Nat King Cole,1950,2,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/5dae01pKNjRQtgOeAkFzPY?si=15779469d4874d3d,4/4,,Db,,,,,,Major,,,,,,65,,
Third Man Theme,Anton Karas,1950,3,Folk,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7rRGujA12UJcRUz7DxUDwQ?si=a206215c97394f61,12/8,,F#,,,,,,Major,,,,,,176,152,
Sam's Song,Gary & Bing Crosby,1950,4,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/1Wnlagmoyo7M7Ine1wY71p?si=31b7831d43224031,12/8,,Eb,,,,,,Major,,,,,,118,,
Simple Melody,Gary & Bing Crosby,1950,5,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/75lpxrV9sLZIRvzl2Z5CBb?si=b072ddb2bca34acb,12/8,,Bb,,,,,,Major,,,,,,151,,
Too Young,Nat King Cole,1951,1,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/0zII0Soax7wbm3Avw7iVAd?si=fd982113338544af,4/4,,Ab,,,,,,Major,,,,,,96,,
Because of You,Tony Bennett,1951,2,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/4DTO96EvOW9JT6OIUNFpZW?si=1bb52069ae4240de,4/4,,F#,,,,,,Major,,,,,,84,,
How High the Moon,Les Paul & Mary Ford,1951,3,Pop,Jazz,N/A,N/A,N/A,https://open.spotify.com/track/0onHzLoj8yQbjbHtJzwjBx?si=94f73acf642e45b2,4/4,,A,,,,,,Major,,,,,,119,,
Come on-a My House,Rosemary Clooney,1951,4,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/3GVyT9fBXuEkGs1STo2WHZ?si=be400ee0309f411d,12/8,,Bb,,,,,,Minor,,,,,,184,,
Be My Love,Mario Lanza,1951,5,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/7bETs6oajlWYVo9ycX74Vp?si=4dedbb8fdc8543a1,4/4,,Db,C,,,,,Major,Major,,,,,87,,
Blue Tango,Leroy Anderson,1952,1,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/6ecG5Am0TRxn0uwZBQHA3L?si=dc69c7a9494c448f,4/4,,D,,,,,,Major,,,,,,124,,
Wheel of Fortune,Kay Starr,1952,2,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/2gCQe48O4GMJz6oFBqnN9e?si=8a25159095894402,4/4,,Ab,,,,,,Major,,,,,,141,,
Cry,Johnnie Ray & The Four Lads,1952,3,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/6I3CrqLrSqSlGzs2dactg1?si=8b07a850c7f44fd9,4/4,,C,,,,,,Major,,,,,,70,,
